question_id,ask_text,right_answer,subject,source,theme,may_in_subway,have_photo,number_of_decisions,number_of_correct_decisions,photo_url
0,"Если Вы вкладываете в банк на счёт $100 при ставке процента 7% годовых, то для увеличения этой суммы до $800 потребуется около 40 лет.",0,economics,MOSH,mathematics,1,0,0,0,
1,"По данным Росстата, среднемесячная заработная плата в России в 2016 году составила 35 369 рублей. Это значит, что половина населения России получала заработную плату ниже 35 369 рублей.",0,economics,REG,mathematics,1,0,0,0,
2,"Точки, расположенные над кривой производственных возможностей, достижимы только вследствие научно-технического прогресса.",0,economics,,KPV KTV opportunity costs,1,0,0,0,
3,"Точки А(25;6), В(12;9), С(18;7), Е(6;12) могут принадлежать одной кривой производственных возможностей.",0,economics,SIB,KPV KTV opportunity costs,1,0,0,0,
4,"Точки А(1;4), В(2;2), С(3;1), Е(4;2) не могут принадлежать однои кривои производственных возможностеи.",1,economics,,KPV KTV opportunity costs,1,0,0,0,
5,Непостоянность альтернативных издержек можно объяснить различиями в технологии и невозможностью полной взаимозаменяемости экономических ресурсов.,1,economics,,KPV KTV opportunity costs,1,0,0,0,
6,"Мать и сын приехали на дачу, чтобы собрать смородину и полакомиться урожаем. За час мать может собрать семь банок смородины либо съесть три банки. За то же время сын может собрать четыре банки смородины, а съесть – только две. Это значит, что мать должна специализироваться на сборе смородины, а сын – на её поедании.",0,economics,SIB,KPV KTV opportunity costs,1,0,0,0,
7,КТВ всегда лежит выше КПВ.,0,economics,,KPV KTV opportunity costs,1,0,0,0,
8,"Кривая производственных возможностей показывает минимальные количества двух ресурсов, необходимые для производства экономического блага.",0,economics,MUN,KPV KTV opportunity costs,1,0,0,0,
9,"Если у предпринимателя есть собственное помещение для офиса, то ему всегда выгоднее использовать его, а не брать в аренду другое, потому что использование своего помещения не влечет издержек.",0,economics,REG,KPV KTV opportunity costs,1,0,0,0,
10,"Если страны A и B с различными КПВ объединяются, то они всегда выигрывают от специализации.",0,economics,,KPV KTV opportunity costs,1,0,0,0,
11,"Если страна А имеет объём ресурсов, отличный от объёма страны В, и технологии производства двух товаров, отличные от технологий страны В, то страна А должна иметь абсолютное преимущество перед страной В в производстве хотя бы одного из этих товаров.",0,economics,REG,KPV KTV opportunity costs,1,0,0,0,
12,"Если собственник фирмы доверил управление наёмному менеджеру, а сам отдыхает постоянно на Канарских островах, то его внутренние издержки равны нулю:",0,economics,ZAKL,KPV KTV opportunity costs,1,0,0,0,
13,"Если при том же уровне технологии, качестве и количестве ресурсов, они используются в экономике менее эффективно, то кривая производственных возможностей сдвигается влево.",0,economics,REG,KPV KTV opportunity costs,1,0,0,0,
14,"Если предельные издержки постоянны, то они всегда равны средним издержкам",0,economics,SIB,KPV KTV opportunity costs,1,0,0,0,
15,"Если Вова умеет решать задачи в два раза быстрее Миши, то Вова обладает сравнительным приемуществом в решении задач.",0,economics,,KPV KTV opportunity costs,1,0,0,0,
16,"Если в производстве двух благ действует закон убывающей отдачи от фактора, то кривая производственных возможностей будет не линейна.",1,economics,SIB,KPV KTV opportunity costs,1,0,0,0,
