question_id,ask_text,answer_1,answer_2,answer_3,answer_4,answer_5,right_answer,subject,source,theme,may_in_subway,have_photo,number_of_decisions,number_of_correct_decisions,photo_url
1,Что позволили усовершенствовать научные работы лауреатов Нобелевской премии по экономике 2022 года?,1) методы борьбы с инфляцией,2) методы борьбы с пробками на дорогах,3) способы распределения донорских органов,4) методы борьбы с финансовыми кризисами и их предотврашения,,3,economics,REG,more about macroeconomics,1,False,0,0,
2,"На рынке товара X спрос строго убывает, а предложение строго возрастает. После введения налога в процентах от цены производителя цена для потребителя выросла на 10 %. Значит, ставка налога 𝑡:",1) Больше 10%,2) Равна 10%,3) Меньше 10%,4) Возможно все перечисленное,,0,economics,REG,government intervention,0,False,0,0,
3,"На олигопольном мировом рынке лития две фирмы, и цена определяется по формуле 𝑃 = 100−𝑞1−𝑞2, где 𝑞1 и 𝑞2 — выпуски двух фирм. Фирма 2 выбирает свой выпуск, уже зная выпуск фирмы 1. Средние издержки фирмы 2 постоянны и равны 20. Изначально выпуск фирмы 1 равен 40. На сколько процентов фирме 2 следует уменьшить свой выпуск, если из-за сокращения своих издержек фирма 1 увеличит свой выпуск до 50?",1) На 20%,2) На 25%,3) На 50%,"4) Фирме 2 следует не уменьшить, а увеличить выпуск",,1,economics,REG,oligopoly and game theory,0,False,0,0,
1128,"Номинальная заработная плата составляет 2000 ден. ед. в месяц. Определите «инфляционный налог» из-за инфляции, равной 25% в месяц.(в ответ запишите только число)",1) 40 тыс. км,2) 60 тыс. км,3) 15 тыс. км,4) 32 тыс. км,5) Среди этих ответов нет правильного ответа,0,economics,MOSH,mathematics,1,False,0,0,
1129,"Если купить десять килограммов клубники на оптовом рынке перед самым его закрытием, то можно заплатить за этот товар на 20% меньше, чем он обошёлся бы вам днем. Но, принеся клубнику домой, можно обнаружить, что лишь 50% от приобретенного объёма годится к употреблению. Таким образом, 1 килограмм клубники обошёлся бы вам:","1) на 60 % дороже, чем днём","2) на 30% дороже, чем днём","3) на 30% дешевле, чем днём","4) в 2,5 раза дороже, чем днём","5) в 0,4 раза дороже, чем днём.",0,economics,MUN,mathematics,1,False,0,0,
1130,"Семья Ивановых 85% своего месячного дохода расходует на потребление, а сбережения семьи в месяц составляют 6300 руб. Это значит, что месячный доход семьи Ивановых равен:",1) 25 200 руб.,2) 42 000 руб.,3) 53 550 руб.,4) 94 500 руб.,,1,economics,SIB,mathematics,1,False,0,0,
1131,"В магазин привезли 200 кг бананов. Из-за повреждения упаковки 40 кг испортилось. Администрации магазина пришлось поднять цену, чтобы выручка осталась неизменной. На сколько процентов поднялась цена?",1) на 20 %,2) на 25 %,3) на 40 %,4) на 12.5 %,5) на 10 %,1,economics,MOSH,mathematics,1,False,0,0,
1132,"В связи с ростом цен на авиабилеты, цена и величина спроса на туристические путёвки изменились на 20%. Как изменилась выручка турфирмы?",1) Выросла на 4 %,2) Снизилась на 4 %,3) Выросла на 2 %,4) Снизилась на 2 %,,1,economics,MOSH,mathematics,1,False,0,0,
1133,"Цена товара выросла на 36%, количество продаваемого товара уменьшилось на 67%. На сколько процентов изменилась общая выручка?",1) -18.56,2) -31.0,3) -25.42,4) -55.12,5) Нет верного ответа,3,economics,ZAKL,mathematics,1,False,0,0,
1134,"В фирме, где работает Татьяна, введён штраф за опоздания на работу: за каждую минуту нужно заплатить F рублей. Чтобы добраться до рабочего места, Тамаре нужно проехать одну станцию на метро либо взять такси. Поездка на метро займёт ровно 20 минут и будет стоить Тамаре 40 рублей, поездка на такси займёт от 10 до 20 минут в зависимости от пробок (заранее это предсказать невозможно), каждая минута поездки стоит 4 рубля. Тамара посчитала, что если она выйдет из дома прямо сейчас, то поездка на метро может оказаться выгоднее (с точки зрения всех затрат), чем такси. Сколько минут осталось до времени, к которому ей нужно приехать на работу?",1) Не более 10 минут,2) От 10 до 15 минут,3) От 15 до 20 минут,4) Невозможно определить из имеющихся данных,,3,economics,MOSH,mathematics,1,False,0,0,
1135,В связи с открытием новых кинотеатров цена и величина спроса на билеты в кино изменились на 30%. Как изменилась выручка кинотеатров?,1) Выросла на 6 %,2) Снизилась на 6 %,3) Выросла на 9 %,4) Снизилась на 9 %,,3,economics,MOSH,mathematics,1,False,0,0,
1136,"ВВП страны, растущий с постоянным темпом, через 20 лет возрастёт в четыре раза. Можно ожидать того, что за три ближайших года ВВП изменится на:",1) 0.04,2) 0.175,3) 0.21,4) 0.225,5) 0.25,3,economics,MOSH,mathematics,1,False,0,0,
1137,"В экономике страны Ордерии ВВП рос на 5% ежегодно на протяжении 20 лет, а затем на 7% ежегодно еще в течение 20 лет. В экономике страны Хаотии ВВП рос то на 5%, то на 7% ежегодно (с чередованием точно через раз) в течение 40 лет. В результате этих процессов:","1) ВВП Ордерии вырос в большей степени, чем в Хаотии","2) ВВП Хаотии вырос в большей степени, чем в Ордерии","3) ВВП Ордерии вырос в большей степени, чем в Хаотии, если темп роста в Хаотии в первый год был равен 5%","4) ВВП Хаотии вырос в большей степени, чем в Ордерии, если темп роста в Хаотии в первый год был равен 7%",5) ВВП обоих стран увеличились в равное количество раз,4,economics,ZAKL,mathematics,1,False,0,0,
1138,"Школьник Вася планирует заниматься английским языком с репетитором и рассматривает три возможные схемы оплаты, предлагаемые администрацией языковых курсов. Схема А: Все уроки школьникам предоставляются со скидкой 20% относительно базовой цены. Схема В: Каждый шестой урок любому клиенту предоставляется бесплатно, все остальные уроки оплачиваются по базовой цене. Схема С: Каждый 4-ый урок все представители мужского пола оплачивают с 50% скидкой, все остальные уроки оплачиваются по базовой цене. Считая, что качество предоставляемых услуг по различным схемам одинаково и что Вася будет заниматься 12 раз в месяц, выберите самую выгодную для Васи схему оплаты.",1) наиболее выгодна схема А,2) наиболее выгодна схема B,3) наиболее выгодна схема C,"4) схемы А и В эквивалентны и выгоднее, чем схема C",,0,economics,REG,mathematics,1,False,0,0,
1139,"При покупке трёх и более одинаковых пар джинсов магазин предоставляет скидку 20% на всю сумму покупки. Если бы магазин решил предоставлять скидку только на третьи джинсы, то какую скидку он должен был бы сделать, чтобы программы были эквивалентны для потребителя при покупке трёх пар джинсов?",1) 0.3,2) 0.4,3) 0.5,4) 0.6,,3,economics,SIB,mathematics,1,False,0,0,
1140,"В отдел канцелярских товаров зашел покупатель и захотел купить калькулятор за двести рублей. Он подал продавцу купюру в тысячу рублей, но у продавца не оказалось сдачи. Продавец разменял купюру в соседнем отделе. Покупатель забрал сдачу и ушел. Через несколько минут в отдел вбежал разгневанный продавец соседнего отдела – купюра оказалась фальшивой! На какую сумму в итоге пострадал продавец отдела канцелярских товаров?",1) на 1200 рублей,2) на 1000 рублей,3) на 800 рублей,4) на 200 рублей,,1,economics,SIB,mathematics,1,False,0,0,
1141,"Зарплата Саши была на 30% меньше зарплаты Маши. Директор предприятия повысил Саше зарплату на 30%, зарплата Маши при этом не изменилась. Это значит, что теперь при прочих равных условиях:",1) зарплата Саши больше зарплаты Маши,2) зарплата Саши меньше зарплаты Маши,3) у Саши и Маши одинаковая заработная плата,4) не хватает данных для ответа,,1,economics,SIB,mathematics,1,False,0,0,
1142,"Раньше постоянным покупателям магазина предоставлялась скидка в 8% по дисконтной карте. Теперь же им начисляется по 2 «балла» на каждые 10 потраченных в магазине рублей, и накопленными «баллами» можно расплачиваться в этом же магазине из расчёта 10 «баллов» = 1 рубль. Это нововведение. . .",1) выгодно и магазину и покупателям,2) выгодно только магазину,3) выгодно только покупателям,"4) не выгодно ни магазину, ни покупателям",,1,economics,SIB,mathematics,1,False,0,0,
1143,"Абу и Дуа могут производить лопаты и канаты. Их кривые
производственных возможностей изображены на рисунке. ",1) Абу имеет сравнительное преимущество в производстве канатов,"2) альтернативная стоимость производства лопат у Абу ниже, чем у Дуа","3) Абу обязательно должен производит только канаты, а Дуа - только лопаты",4) верно все вышеперечисленное,,0,economics,ZAKL,KPV KTV opportunity costs,1,True,0,0,
1144,"Андрей может делать книжные полки, но не способен решить уравнение. Сергей успешно решает уравнения, но никогда не сделает книжную полку. Как будет выглядеть их общая кривая производственных возможностей?",1) Вариант а),2) Вариант б),3) Вариант в),4) Вариант г),,2,economics,ZAKL,KPV KTV opportunity costs,1,True,0,0,
1145,"Бабушка, мать и дочь организовали семейное предприятие по вязанию шерстяных носков и варежек. За год мать может связать 250 пар варежек или 300 пар носков, бабушка - 210 пар варежек или 350 пар носков, дочь - 150 пар варежек или 300 пар носков. Каковы альтернативные издержки производства 500-ой пары носков?",1) 5/6,2) 3/5,3) 1/2,4) 5/3,5) 6/5,1,economics,ZAKL,KPV KTV opportunity costs,0,False,0,0,
